92,SHAWN,0.002,653139,TINA,0.0022,718452
93,CLARENCE,0.002,643342,PHYLLIS,0.0022,715187
94,SEAN,0.002,643342,NORMA,0.0022,711921
95,PHILIP,0.002,643342,PAULA,0.0022,708655
96,CHRIS,0.002,643342,DIANA,0.0022,705390
97,JOHNNY,0.002,636810,ANNIE,0.0022,705390
98,EARL,0.0019,630279,LILLIAN,0.0021,689061
99,JIMMY,0.0019,623747,EMILY,0.0021,679264
100,ANTONIO,0.0019,620482,ROBIN,0.0021,679264
101,DANNY,0.0019,620482,PEGGY,0.0021,679264
102,BRYAN,0.0019,620482,CRYSTAL,0.0021,675998
103,TONY,0.0019,620482,GLADYS,0.0021,669467
104,LUIS,0.0019,617216,RITA,0.002,666201
105,MIKE,0.0019,617216,DAWN,0.002,659670
106,STANLEY,0.0019,607419,CONNIE,0.002,653139
107,LEONARD,0.0019,607419,FLORENCE,0.002,653139
108,NATHAN,0.0019,604153,TRACY,0.002,643342
109,DALE,0.0018,600888,EDNA,0.002,643342
110,MANUEL,0.0018,591090,TIFFANY,0.002,636810
111,RODNEY,0.0018,587825,CARMEN,0.002,636810
112,CURTIS,0.0018,587825,ROSA,0.0019,633544
113,NORMAN,0.0018,578028,CINDY,0.0019,627013
114,ALLEN,0.0017,568231,GRACE,0.0019,617216
115,MARVIN,0.0017,558434,WENDY,0.0019,604153
116,VINCENT,0.0017,548636,VICTORIA,0.0018,587825
117,GLENN,0.0017,545371,EDITH,0.0018,584559
118,JEFFERY,0.0017,542105,KIM,0.0018,581293
119,TRAVIS,0.0017,542105,SHERRY,0.0018,581293
120,JEFF,0.0017,542105,SYLVIA,0.0018,578028
121,CHAD,0.0017,538839,JOSEPHINE,0.0018,578028
122,JACOB,0.0017,538839,THELMA,0.0018,571496
123,LEE,0.0016,529042,SHANNON,0.0018,571496
124,MELVIN,0.0016,529042,SHEILA,0.0018,571496
125,ALFRED,0.0016,529042,ETHEL,0.0017,568231
126,KYLE,0.0016,522511,ELLEN,0.0017,564965
127,FRANCIS,0.0016,522511,ELAINE,0.0017,564965
128,BRADLEY,0.0016,519245,MARJORIE,0.0017,564965
129,JESUS,0.0016,506182,CARRIE,0.0017,558434
130,HERBERT,0.0016,506182,CHARLOTTE,0.0017,551902
131,FREDERICK,0.0015,502917,MONICA,0.0017,542105
132,RAY,0.0015,499651,ESTHER,0.0017,542105
133,JOEL,0.0015,496385,PAULINE,0.0017,538839
134,EDWIN,0.0015,483323,EMMA,0.0017,538839
135,DON,0.0015,473525,JUANITA,0.0016,535574
136,EDDIE,0.0014,470260,ANITA,0.0016,529042
137,RICKY,0.0014,460463,RHONDA,0.0016,529042
138,TROY,0.0014,450666,HAZEL,0.0016,525777
139,RANDALL,0.0014,450666,AMBER,0.0016,522511
140,BARRY,0.0013,437603,EVA,0.0016,519245
141,ALEXANDER,0.0013,431071,DEBBIE,0.0016,512714
142,BERNARD,0.0013,414743,APRIL,0.0015,502917
143,MARIO,0.0013,408212,LESLIE,0.0015,502917
144,LEROY,0.0013,408212,CLARA,0.0015,499651
145,FRANCISCO,0.0012,404946,LUCILLE,0.0015,499651
146,MARCUS,0.0012,404946,JAMIE,0.0015,499651
147,MICHEAL,0.0012,401680,JOANNE,0.0015,489854
148,THEODORE,0.0012,401680,ELEANOR,0.0015,489854
149,CLIFFORD,0.0012,401680,VALERIE,0.0015,486588
150,MIGUEL,0.0012,398415,DANIELLE,0.0015,486588
151,OSCAR,0.0012,398415,MEGAN,0.0015,480057
152,JAY,0.0012,385352,ALICIA,0.0015,476791
153,JIM,0.0012,385352,SUZANNE,0.0015,473525
154,TOM,0.0012,382086,MICHELE,0.0015,473525
155,CALVIN,0.0012,375555,GAIL,0.0015,473525
156,ALEX,0.0012,375555,BERTHA,0.0014,466994
157,JON,0.0012,375555,DARLENE,0.0014,463728
158,RONNIE,0.0011,369023,VERONICA,0.0014,463728
159,BILL,0.0011,365758,JILL,0.0014,463728
160,LLOYD,0.0011,365758,ERIN,0.0014,460463
161,TOMMY,0.0011,365758,GERALDINE,0.0014,460463
162,LEON,0.0011,365758,LAUREN,0.0014,447400
163,DEREK,0.0011,365758,CATHY,0.0014,447400
164,WARREN,0.0011,359226,JOANN,0.0014,444134
165,DARRELL,0.0011,352695,LORRAINE,0.0014,440869
166,JEROME,0.0011,352695,LYNN,0.0014,440869
167,FLOYD,0.0011,349429,SALLY,0.0014,440869
168,LEO,0.0011,346163,REGINA,0.0013,434337
169,ALVIN,0.0011,342898,ERICA,0.0013,424540
170,TIM,0.001,339632,BEATRICE,0.0013,424540
171,WESLEY,0.001,339632,DOLORES,0.0013,421274
172,GORDON,0.001,339632,BERNICE,0.0013,418009
173,DEAN,0.001,339632,AUDREY,0.0013,414743
174,GREG,0.001,339632,YVONNE,0.0013,411477
175,JORGE,0.001,339632,ANNETTE,0.0013,408212
176,DUSTIN,0.001,336366,JUNE,0.0013,408212
177,PEDRO,0.001,336366,SAMANTHA,0.0012,404946
178,DERRICK,0.001,336366,MARION,0.0012,398415
179,DAN,0.001,329835,DANA,0.0012,398415
180,LEWIS,0.001,323304,STACY,0.0012,395149
181,ZACHARY,0.001,323304,ANA,0.0012,391883
182,COREY,0.001,320038,RENEE,0.0012,391883
183,HERMAN,0.001,316772,IDA,0.0012,385352
184,MAURICE,0.001,316772,VIVIAN,0.0012,385352
185,VERNON,0.001,316772,ROBERTA,0.0012,382086
186,ROBERTO,0.001,316772,HOLLY,0.0012,382086
187,CLYDE,0.001,310241,BRITTANY,0.0012,382086
188,GLEN,0.0009,306975,MELANIE,0.0012,378820
189,HECTOR,0.0009,306975,LORETTA,0.0012,375555
190,SHANE,0.0009,303709,YOLANDA,0.0012,375555
191,RICARDO,0.0009,303709,JEANETTE,0.0012,375555
192,SAM,0.0009,300444,LAURIE,0.0011,372289
193,RICK,0.0009,297178,KATIE,0.0011,369023
194,LESTER,0.0009,297178,KRISTEN,0.0011,362492
195,BRENT,0.0009,293912,VANESSA,0.0011,362492
196,RAMON,0.0009,293912,ALMA,0.0011,362492
197,CHARLIE,0.0009,293912,SUE,0.0011,362492
198,TYLER,0.0009,290647,ELSIE,0.0011,359226
199,GILBERT,0.0009,290647,BETH,0.0011,359226
200,GENE,0.0009,284115,JEANNE,0.0011,355961
201,MARC,0.0009,284115,VICKI,0.0011,355961
202,REGINALD,0.0008,274318,CARLA,0.0011,349429
203,RUBEN,0.0008,267787,TARA,0.0011,349429
204,BRETT,0.0008,267787,ROSEMARY,0.0011,349429
205,ANGEL,0.0008,267787,EILEEN,0.0011,342898
206,NATHANIEL,0.0008,264521,TERRI,0.0011,342898
207,RAFAEL,0.0008,264521,GERTRUDE,0.001,336366
208,LESLIE,0.0008,264521,LUCY,0.001,336366
209,EDGAR,0.0008,261255,TONYA,0.001,333101
210,MILTON,0.0008,261255,ELLA,0.001,329835
211,RAUL,0.0008,257990,STACEY,0.001,329835
212,BEN,0.0008,254724,WILMA,0.001,323304
213,CHESTER,0.0008,254724,GINA,0.001,323304
214,CECIL,0.0008,254724,KRISTIN,0.001,323304
215,DUANE,0.0008,251458,JESSIE,0.001,320038
216,FRANKLIN,0.0008,251458,NATALIE,0.001,320038
217,ANDRE,0.0008,248193,AGNES,0.001,320038
218,ELMER,0.0007,241661,VERA,0.001,320038
219,BRAD,0.0007,238396,WILLIE,0.001,316772
220,GABRIEL,0.0007,238396,CHARLENE,0.001,316772
221,RON,0.0007,235130,BESSIE,0.001,313507
222,MITCHELL,0.0007,235130,DELORES,0.001,310241
223,ROLAND,0.0007,235130,MELINDA,0.0009,306975
224,ARNOLD,0.0007,235130,PEARL,0.0009,306975
225,HARVEY,0.0007,235130,ARLENE,0.0009,306975
226,JARED,0.0007,231864,MAUREEN,0.0009,300444
227,ADRIAN,0.0007,225333,COLLEEN,0.0009,300444
228,KARL,0.0007,225333,ALLISON,0.0009,300444
229,CORY,0.0007,222067,TAMARA,0.0009,300444
230,CLAUDE,0.0007,222067,JOY,0.0009,297178
231,ERIK,0.0007,222067,GEORGIA,0.0009,297178
232,DARRYL,0.0007,218801,CONSTANCE,0.0009,297178
233,JAMIE,0.0007,215536,LILLIE,0.0009,293912
234,NEIL,0.0007,215536,CLAUDIA,0.0009,293912
235,JESSIE,0.0007,212270,JACKIE,0.0009,293912
236,CHRISTIAN,0.0007,212270,MARCIA,0.0009,293912
237,JAVIER,0.0007,212270,TANYA,0.0009,290647
238,FERNANDO,0.0007,212270,NELLIE,0.0009,290647
239,CLINTON,0.0007,212270,MINNIE,0.0009,290647
240,TED,0.0006,209004,MARLENE,0.0009,287381
241,MATHEW,0.0006,209004,HEIDI,0.0009,287381
242,TYRONE,0.0006,209004,GLENDA,0.0009,287381
243,DARREN,0.0006,209004,LYDIA,0.0009,280850
244,LONNIE,0.0006,209004,VIOLA,0.0009,280850
245,LANCE,0.0006,205739,COURTNEY,0.0009,280850
246,CODY,0.0006,205739,MARIAN,0.0009,280850
247,JULIO,0.0006,205739,STELLA,0.0009,277584
248,KELLY,0.0006,205739,CAROLINE,0.0009,277584
249,KURT,0.0006,202473,DORA,0.0008,274318
250,ALLAN,0.0006,199207,JO,0.0008,271053
251,NELSON,0.0006,199207,VICKIE,0.0008,267787
252,GUY,0.0006,195942,MATTIE,0.0008,264521
253,CLAYTON,0.0006,195942,TERRY,0.0008,261255
254,HUGH,0.0006,195942,MAXINE,0.0008,257990
255,MAX,0.0006,192676,IRMA,0.0008,257990
256,DWAYNE,0.0006,192676,MABEL,0.0008,254724
257,DWIGHT,0.0006,189410,MARSHA,0.0008,254724
258,ARMANDO,0.0006,189410,MYRTLE,0.0008,254724
259,FELIX,0.0006,189410,LENA,0.0008,251458
260,JIMMIE,0.0006,189410,CHRISTY,0.0008,251458
261,EVERETT,0.0006,186145,DEANNA,0.0008,248193
262,JORDAN,0.0006,182879,PATSY,0.0008,248193
263,IAN,0.0006,182879,HILDA,0.0008,244927
264,WALLACE,0.0006,182879,GWENDOLYN,0.0007,241661
265,KEN,0.0006,179613,JENNIE,0.0007,238396
266,BOB,0.0006,179613,NORA,0.0007,238396
267,JAIME,0.0006,179613,MARGIE,0.0007,235130
268,CASEY,0.0005,176347,NINA,0.0007,235130
269,ALFREDO,0.0005,176347,CASSANDRA,0.0007,235130
270,ALBERTO,0.0005,173082,LEAH,0.0007,235130
271,DAVE,0.0005,173082,PENNY,0.0007,231864
272,IVAN,0.0005,173082,KAY,0.0007,231864
273,JOHNNIE,0.0005,169816,PRISCILLA,0.0007,231864
274,SIDNEY,0.0005,169816,NAOMI,0.0007,231864
275,BYRON,0.0005,169816,CAROLE,0.0007,231864
276,JULIAN,0.0005,169816,BRANDY,0.0007,228599
277,ISAAC,0.0005,166550,OLGA,0.0007,228599
278,MORRIS,0.0005,166550,BILLIE,0.0007,225333
279,CLIFTON,0.0005,163285,DIANNE,0.0007,225333
280,WILLARD,0.0005,163285,TRACEY,0.0007,225333
281,DARYL,0.0005,163285,LEONA,0.0007,225333
282,ROSS,0.0005,163285,JENNY,0.0007,222067
283,VIRGIL,0.0005,160019,FELICIA,0.0007,222067
284,ANDY,0.0005,160019,SONIA,0.0007,222067
285,MARSHALL,0.0005,160019,MIRIAM,0.0007,215536
286,SALVADOR,0.0005,160019,VELMA,0.0007,215536
287,PERRY,0.0005,160019,BECKY,0.0007,215536
288,KIRK,0.0005,160019,BOBBIE,0.0007,212270
289,SERGIO,0.0005,160019,VIOLET,0.0007,212270
290,MARION,0.0005,156753,KRISTINA,0.0007,212270
291,TRACY,0.0005,156753,TONI,0.0006,209004
292,SETH,0.0005,156753,MISTY,0.0006,205739
293,KENT,0.0005,156753,MAE,0.0006,205739
294,TERRANCE,0.0005,156753,SHELLY,0.0006,202473
295,RENE,0.0005,156753,DAISY,0.0006,202473
296,EDUARDO,0.0005,153488,RAMONA,0.0006,202473
297,TERRENCE,0.0005,153488,SHERRI,0.0006,202473
298,ENRIQUE,0.0005,150222,ERIKA,0.0006,199207
299,FREDDIE,0.0005,150222,KATRINA,0.0006,199207
300,WADE,0.0005,146956,CLAIRE,0.0006,199207
301,AUSTIN,0.0004,143690,LINDSEY,0.0006,195942
302,STUART,0.0004,143690,LINDSAY,0.0006,195942
303,FREDRICK,0.0004,140425,GENEVA,0.0006,192676
304,ARTURO,0.0004,140425,GUADALUPE,0.0006,192676
305,ALEJANDRO,0.0004,140425,BELINDA,0.0006,192676
306,JACKIE,0.0004,140425,MARGARITA,0.0006,192676
307,JOEY,0.0004,140425,SHERYL,0.0006,192676
308,NICK,0.0004,140425,CORA,0.0006,189410
309,LUTHER,0.0004,140425,FAYE,0.0006,189410
310,WENDELL,0.0004,137159,ADA,0.0006,186145
311,JEREMIAH,0.0004,137159,NATASHA,0.0006,186145
312,EVAN,0.0004,137159,SABRINA,0.0006,186145
313,JULIUS,0.0004,137159,ISABEL,0.0006,186145
314,DANA,0.0004,137159,MARGUERITE,0.0006,182879
315,DONNIE,0.0004,133893,HATTIE,0.0006,182879
316,OTIS,0.0004,133893,HARRIET,0.0006,182879
317,SHANNON,0.0004,130628,MOLLY,0.0006,179613
318,TREVOR,0.0004,130628,CECILIA,0.0006,179613
319,OLIVER,0.0004,130628,KRISTI,0.0006,179613
320,LUKE,0.0004,130628,BRANDI,0.0006,179613
321,HOMER,0.0004,130628,BLANCHE,0.0006,179613
322,GERARD,0.0004,130628,SANDY,0.0006,179613
323,DOUG,0.0004,130628,ROSIE,0.0006,179613
324,KENNY,0.0004,127362,JOANNA,0.0006,179613
325,HUBERT,0.0004,127362,IRIS,0.0006,179613
326,ANGELO,0.0004,127362,EUNICE,0.0005,176347
327,SHAUN,0.0004,127362,ANGIE,0.0005,176347
328,LYLE,0.0004,124096,INEZ,0.0005,173082
329,MATT,0.0004,124096,LYNDA,0.0005,173082
330,LYNN,0.0004,124096,MADELINE,0.0005,169816
331,ALFONSO,0.0004,124096,AMELIA,0.0005,169816
332,ORLANDO,0.0004,120831,ALBERTA,0.0005,169816
333,REX,0.0004,120831,GENEVIEVE,0.0005,166550
334,CARLTON,0.0004,120831,MONIQUE,0.0005,166550
335,ERNESTO,0.0004,120831,JODI,0.0005,166550
336,CAMERON,0.0004,120831,JANIE,0.0005,166550
337,NEAL,0.0004,120831,MAGGIE,0.0005,166550
338,PABLO,0.0004,117565,KAYLA,0.0005,166550
339,LORENZO,0.0004,117565,SONYA,0.0005,166550
340,OMAR,0.0004,117565,JAN,0.0005,166550
341,WILBUR,0.0004,117565,LEE,0.0005,166550
342,BLAKE,0.0004,117565,KRISTINE,0.0005,166550
343,GRANT,0.0004,117565,CANDACE,0.0005,166550
344,HORACE,0.0004,117565,FANNIE,0.0005,163285
345,RODERICK,0.0004,117565,MARYANN,0.0005,163285
346,KERRY,0.0004,117565,OPAL,0.0005,163285
347,ABRAHAM,0.0004,114299,ALISON,0.0005,163285
348,WILLIS,0.0004,114299,YVETTE,0.0005,163285
349,RICKEY,0.0004,114299,MELODY,0.0005,163285
350,JEAN,0.0004,114299,LUZ,0.0005,160019
351,IRA,0.0004,114299,SUSIE,0.0005,160019
352,ANDRES,0.0003,111034,OLIVIA,0.0005,160019
353,CESAR,0.0003,111034,FLORA,0.0005,160019
354,JOHNATHAN,0.0003,111034,SHELLEY,0.0005,160019
355,MALCOLM,0.0003,111034,KRISTY,0.0005,156753
356,RUDOLPH,0.0003,111034,MAMIE,0.0005,156753
357,DAMON,0.0003,111034,LULA,0.0005,156753
358,KELVIN,0.0003,111034,LOLA,0.0005,156753
